Tool 1     Tool 2     System 1   System 2         Median         Mean          Max     Std.Dev.
kapteyn    pyephem    galactic   ecliptic       0.007662     0.006871     0.008820     0.001985
kapteyn    pyslalib   galactic   ecliptic       0.060139     0.054354     0.068950     0.015447
pyast      pyephem    galactic   ecliptic       0.035546     0.032206     0.040944     0.009204
pyast      pyslalib   galactic   ecliptic       0.074122     0.067658     0.086278     0.018980
pyephem    pyslalib   galactic   ecliptic       0.056208     0.050926     0.064623     0.014520
astrolib   kapteyn    galactic   ecliptic    1837.489136  1665.674267  2112.030827   473.221355
astrolib   pyast      galactic   ecliptic    1837.506123  1665.678993  2112.037422   473.222648
astrolib   pyephem    galactic   ecliptic    1837.486364  1665.670396  2112.025918   473.220300
astrolib   pyslalib   galactic   ecliptic    1837.428453  1665.619942  2111.961918   473.205916
kapteyn    pyast      ecliptic   fk5            0.036183     0.032943     0.041557     0.008885
kapteyn    pyephem    ecliptic   fk5            0.000524     0.000472     0.000601     0.000136
kapteyn    pyslalib   ecliptic   fk5            0.060109     0.054226     0.068848     0.015144
pyast      pyephem    ecliptic   fk5            0.036658     0.033343     0.042067     0.009002
pyast      pyslalib   ecliptic   fk5            0.075946     0.068819     0.086278     0.018634
pyephem    pyslalib   ecliptic   fk5            0.060135     0.054210     0.068845     0.015155
astrolib   kapteyn    ecliptic   fk5          702.011902   633.453574   804.648195   177.261883
astrolib   pyast      ecliptic   fk5          702.020965   633.459878   804.654724   177.262251
astrolib   pyephem    ecliptic   fk5          702.011841   633.453564   804.648200   177.261896
astrolib   pyslalib   ecliptic   fk5          701.951720   633.399356   804.579358   177.246740
kapteyn    pyast      ecliptic   fk4            0.237787     0.213535     0.273263     0.062337
kapteyn    pyephem    ecliptic   fk4            0.462955     0.462100     0.867306     0.233416
kapteyn    pyslalib   ecliptic   fk4            0.216118     0.195764     0.252199     0.058309
pyast      pyephem    ecliptic   fk4            0.577805     0.591124     1.036326     0.252128
pyast      pyslalib   ecliptic   fk4            0.075949     0.068820     0.086281     0.018635
pyephem    pyslalib   ecliptic   fk4            0.532462     0.538304     0.970132     0.243725
